group,alpha,duration,n_channels,f1_mean,f1_median,f1_sd,f1_ci_lo,f1_ci_hi,latency_mean
contextual,1.0,16,6,0.4201833333333334,0.42755000000000004,0.3309077721460568,0.1950166666666667,0.6633333333333334,2.15
contextual,1.5,16,6,0.5464833333333333,0.5775,0.3471290734966846,0.28755,0.7748016666666667,1.6333333333333335
contextual,0.1,32,6,0.21823333333333336,0.21550000000000002,0.15895864451695185,0.10235625000000004,0.3313,10.586
contextual,0.25,32,6,0.24768333333333334,0.21384999999999998,0.15330995292761218,0.13768333333333332,0.36413333333333325,10.338333333333333
contextual,0.5,32,6,0.37956666666666666,0.38205,0.21628353304555265,0.2357729166666666,0.5418666666666667,5.510000000000001
contextual,0.75,32,6,0.4953666666666667,0.4676,0.27784756732184407,0.30666666666666664,0.7105166666666666,5.966666666666666
contextual,1.0,32,6,0.5441,0.53415,0.28329393922214435,0.33946666666666664,0.7561333333333334,3.146666666666667
contextual,1.5,32,6,0.6501666666666667,0.7141500000000001,0.29868725226675924,0.4139166666666667,0.8450979166666664,2.5283333333333333
contextual,0.1,64,6,0.37779999999999997,0.43725,0.3295035599200713,0.1425,0.6014333333333334,16.7825
contextual,0.25,64,6,0.4323666666666666,0.43265000000000003,0.27792336113876187,0.22735000000000005,0.6382833333333334,25.345
contextual,0.5,64,6,0.5900166666666666,0.5922499999999999,0.24528661126662962,0.4208833333333333,0.77235,11.229999999999999
contextual,0.75,64,6,0.6122333333333333,0.5833,0.2411562204602375,0.4427666666666667,0.79055,9.631666666666666
contextual,1.0,64,6,0.6535166666666666,0.6401,0.24113030847794034,0.47590999999999994,0.8166666666666668,4.95
contextual,1.5,64,6,0.7487166666666666,0.81155,0.2700182395073834,0.5371666666666667,0.9123833333333334,4.77
contextual,0.1,128,6,0.49958333333333327,0.63855,0.41407665675170174,0.21284999999999998,0.7863166666666667,22.1325
contextual,0.25,128,6,0.6054166666666667,0.6162000000000001,0.25254032087305717,0.4256166666666667,0.7784333333333334,31.456666666666667
contextual,0.5,128,6,0.7174166666666667,0.79345,0.23340989196404394,0.54745,0.8805333333333333,28.654999999999998
contextual,0.75,128,6,0.7198333333333333,0.7422500000000001,0.18621105946389618,0.5854262499999999,0.8552833333333334,19.535
contextual,1.0,128,6,0.76575,0.8597,0.23868223855159393,0.5888666666666666,0.9321333333333334,13.213333333333333
contextual,1.5,128,6,0.8493833333333334,0.93525,0.2169307393309364,0.6762291666666667,0.9735166666666668,6.933333333333334
contextual,0.1,256,5,0.49672,0.6278,0.4699012098303217,0.12556,0.8678800000000001,18.513333333333332
contextual,0.25,256,5,0.7158599999999999,0.6479,0.20522634577461055,0.56142,0.8703000000000001,51.748000000000005
contextual,0.5,256,5,0.85176,0.9035,0.16379135508322776,0.7242200000000001,0.9793,46.70799999999999
contextual,0.75,256,5,0.86182,0.9039,0.16505525438470597,0.7221599999999999,0.97834,40.572
contextual,1.0,256,5,0.86654,0.9023,0.1533003685579392,0.73878,0.9774200000000001,24.226000000000003
contextual,1.5,256,5,0.8952,0.945,0.14944227982736344,0.7622599999999999,0.9845599999999999,14.16
