chan_id,spacecraft,anomaly_class,detector,alpha,duration,f1_pa,f1_pw,p_pa,p_pw,r_pa,r_pw,latency,n_replicas,fp_rate_no_injection
E-8,SMAP,[point],lstm,0.1,64,0.5285,0.0168,0.668,0.0827,0.4667,0.0094,35.25,5,
E-8,SMAP,[point],vae,0.1,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.1,128,0.839,0.0313,0.9363,0.2551,0.8,0.0167,28.77,5,
E-8,SMAP,[point],vae,0.1,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.1,256,0.9504,0.0262,0.9788,0.4029,0.9333,0.0135,80.9,5,
E-8,SMAP,[point],vae,0.1,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.25,16,0.6946,0.1165,0.6291,0.1626,0.8,0.0917,0.0,5,
E-8,SMAP,[point],vae,0.25,16,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.25,32,0.7646,0.1155,0.7592,0.2331,0.8,0.0771,2.47,5,
E-8,SMAP,[point],vae,0.25,32,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.25,64,0.9491,0.0759,0.9032,0.2881,1.0,0.0437,7.6,5,
E-8,SMAP,[point],vae,0.25,64,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.25,128,0.9746,0.0797,0.9505,0.4516,1.0,0.0438,11.93,5,
E-8,SMAP,[point],vae,0.25,128,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.25,256,0.9885,0.141,0.9774,0.7625,1.0,0.0781,19.07,5,
E-8,SMAP,[point],vae,0.25,256,0.0,0.0,0.0,0.0,0.0,0.0,,5,
E-8,SMAP,[point],lstm,0.5,16,0.7631,0.2808,0.6494,0.3256,0.9333,0.25,1.03,5,
