chan_id,ar_order,cls,admissible,monotone,predicted,observed_f1,predicted_f1_dist
D-5,16,point,False,True,0.06118749999999999,0.0131337010769634,0.0611874999999999
D-9,16,point,True,True,0.9553602007644987,1.0,0.9588331908610565
E-10,16,contextual,True,False,0.8983263671875001,0.7852760736196319,0.8444360547537093
E-8,16,point,False,True,0.8063420667141988,0.6263846928499497,0.8042484316538085
F-3,16,contextual,False,True,0.19545,0.0278940027894002,0.1951825777896636
G-1,16,contextual,True,True,0.0,0.0,0.9628197169355606
G-2,16,point,True,True,0.6657127402414564,0.851063829787234,0.653295316232946
G-3,16,point,True,True,0.38965000000000005,1.0,0.38965
G-4,16,point,True,False,0.49745000000000006,0.1869158878504672,0.49745
M-2,16,contextual,True,False,0.9869,0.9917355371900828,0.8306683201622987
P-1,16,contextual,False,False,0.8911719449096998,0.7675731144176501,0.8911338236036691
P-2,16,point,True,False,0.8928,0.7348530293941212,0.8928
R-1,16,point,False,True,0.10185,0.0220385674931129,0.10185
T-2,16,point,False,True,0.2614,0.4220487343269458,0.2617908178328805
T-5,16,point,True,True,0.6015417504048832,0.7246376811594203,0.5763442145626814
A-8,32,contextual,True,True,0.0,0.0,0.070487730236709
B-1,32,point,True,True,0.8198781249999999,0.045841519318926,0.8370583836233721
C-1,32,point,True,True,0.7336892010431444,0.9904153354632588,0.5637423218369849
D-14,32,point,True,True,0.8860943687965258,0.8924949290060852,0.8953545276474747
D-4,32,point,True,True,0.983044194676472,0.9969296898986798,0.9802
D-5,32,point,False,True,0.06118749999999999,0.0131337010769634,0.0611874999999999
D-9,32,point,True,True,0.955375625052422,1.0,0.9588331908610565
E-10,32,contextual,True,False,0.8210778744698437,0.7852760736196319,0.8444360547537093
E-8,32,point,False,True,0.8063579464331956,0.6263846928499497,0.8042484316538085
F-3,32,contextual,False,True,0.19545,0.0278940027894002,0.1951825777896636
G-1,32,contextual,True,False,0.0,0.0,0.9628197169355606
G-2,32,point,True,True,0.67635,0.851063829787234,0.653295316232946
G-3,32,point,True,True,0.0,1.0,0.38965
G-4,32,point,True,False,0.49745000000000006,0.1869158878504672,0.49745
M-2,32,contextual,True,False,0.9869,0.9917355371900828,0.8306683201622987
P-1,32,contextual,False,False,0.8894099779461976,0.7675731144176501,0.8911338236036691
P-2,32,point,True,False,0.8928,0.7348530293941212,0.8928
R-1,32,point,False,True,0.10185,0.0220385674931129,0.10185
T-2,32,point,False,True,0.2614,0.4220487343269458,0.2617908178328805
T-5,32,point,True,True,0.5911692699290113,0.7246376811594203,0.5763442145626814
