chan_id,spacecraft,precision,recall,f1,anomaly_rate
A-5,SMAP,0.01851090086384204,0.9,0.036275695284159616,1.0654165778819518
A-6,SMAP,0.01664932362122789,0.8,0.0326197757390418,0.8982708286548395
A-7,SMAP,0.0,0.0,0.0,27.806743135210287
D-13,SMAP,0.05367561260210035,0.8625,0.1010618820944709,2.0879551089651573
P-2,SMAP,0.7092469018112488,0.6642857142857143,0.686030428769018,13.643561944207578
A-8,SMAP,0.0,0.0,0.0,45.43283582089552
A-9,SMAP,0.0,0.0,0.0,45.814560113824996
F-3,SMAP,0.0,0.0,0.0,0.4775549188156638
M-6,MSL,0.17324350336862368,1.0,0.29532403609515995,8.784773060029282
M-1,MSL,0.0,0.0,0.0,50.06587615283268
M-2,MSL,0.7732620320855615,0.6342105263157894,0.6968674698795181,50.06587615283268
S-2,MSL,1.0,0.3,0.46153846153846156,0.5473453749315819
P-10,MSL,0.06917394224311618,0.7923076923076923,0.1272390364422483,2.1311475409836063
T-4,MSL,1.0,0.058823529411764705,0.1111111111111111,3.0672079386558413
T-5,MSL,1.0,0.2,0.3333333333333333,1.127141568981064
F-7,MSL,0.0,0.0,0.0,8.310249307479225
M-3,MSL,0.0,0.0,0.0,11.753643629525152
M-4,MSL,0.0,0.0,0.0,12.26692836113837
M-5,MSL,0.0,0.0,0.0,13.026487190620928
P-15,MSL,0.006694129763130793,0.65,0.013251783893985729,0.700280112044818
C-1,MSL,0.0,0.0,0.0,13.692579505300353
C-2,MSL,0.07896399241945673,0.9259259259259259,0.14551804423748546,6.582155046318869
T-12,MSL,0.0,0.0,0.0,4.938271604938271
T-13,MSL,0.0,0.0,0.0,10.2880658436214
F-4,MSL,0.09602649006622517,0.4142857142857143,0.15591397849462366,2.0455873758036236
F-5,MSL,1.0,0.5533333333333333,0.7124463519313304,3.8245792962774097
D-14,MSL,1.0,0.8454545454545455,0.916256157635468,8.380952380952381
T-9,MSL,0.3181818181818182,0.38181818181818183,0.34710743801652894,10.036496350364963
P-14,MSL,0.029508196721311476,1.0,0.05732484076433121,2.9508196721311477
T-8,MSL,0.24,0.06,0.096,6.583278472679395
P-11,MSL,0.5923076923076923,0.3407079646017699,0.43258426966292135,6.393210749646393
D-15,MSL,0.0,0.0,0.0,29.65708989805375
D-16,MSL,0.0,0.0,0.0,29.666818804198996
M-7,MSL,0.8928571428571429,0.5,0.6410256410256411,4.638218923933209
F-8,MSL,0.7307692307692307,0.0708955223880597,0.1292517006802721,21.552070767993566
