chan_id,spacecraft,anomaly_class,alpha,duration,f1,precision,recall,latency_steps,n_replicas_valid,mean_injections_per_replica,fp_rate_no_injection
P-2,SMAP,[point],0.25,64,0.3643,0.3026,0.4667,24.38,5,3.0,
P-2,SMAP,[point],0.25,128,0.7544,0.673,0.8667,35.9,5,3.0,
P-2,SMAP,[point],0.25,256,0.815,0.7917,0.8667,104.2,5,3.0,
P-2,SMAP,[point],0.5,16,0.1319,0.0823,0.3333,0.0,5,3.0,
P-2,SMAP,[point],0.5,32,0.2404,0.172,0.4,0.12,5,3.0,
P-2,SMAP,[point],0.5,64,0.329,0.2804,0.4,19.88,5,3.0,
P-2,SMAP,[point],0.5,128,0.5713,0.5591,0.6,39.87,5,3.0,
P-2,SMAP,[point],0.5,256,0.9102,0.8352,1.0,86.07,5,3.0,
P-2,SMAP,[point],0.75,16,0.1042,0.0648,0.2667,0.17,5,3.0,
P-2,SMAP,[point],0.75,32,0.2825,0.2029,0.4667,2.2,5,3.0,
P-2,SMAP,[point],0.75,64,0.3013,0.275,0.3333,0.0,5,3.0,
P-2,SMAP,[point],0.75,128,0.7496,0.6651,0.8667,17.8,5,3.0,
P-2,SMAP,[point],0.75,256,0.8729,0.8258,0.9333,40.6,5,3.0,
P-2,SMAP,[point],1.0,16,0.1726,0.106,0.4667,0.12,5,3.0,
P-2,SMAP,[point],1.0,32,0.2634,0.1841,0.4667,0.08,5,3.0,
P-2,SMAP,[point],1.0,64,0.5096,0.4152,0.6667,4.57,5,3.0,
P-2,SMAP,[point],1.0,128,0.748,0.6629,0.8667,30.73,5,3.0,
P-2,SMAP,[point],1.0,256,0.871,0.8218,0.9333,46.6,5,3.0,
P-2,SMAP,[point],1.5,16,0.2684,0.1644,0.7333,0.77,5,3.0,
P-2,SMAP,[point],1.5,32,0.4637,0.3169,0.8667,6.53,5,3.0,
P-2,SMAP,[point],1.5,64,0.6836,0.5193,1.0,7.93,5,3.0,
P-2,SMAP,[point],1.5,128,0.8211,0.6965,1.0,16.07,5,3.0,
P-2,SMAP,[point],1.5,256,0.909,0.8332,1.0,4.47,5,3.0,
D-4,SMAP,[point],0.0,0,0.0,0.0,0.0,,1,0.0,0.00349
D-4,SMAP,[point],0.1,16,0.3593,0.3974,0.3333,0.0,5,3.0,
D-4,SMAP,[point],0.1,32,0.4994,0.5716,0.4667,3.83,5,3.0,
D-4,SMAP,[point],0.1,64,0.5836,0.6783,0.5333,3.5,5,3.0,
D-4,SMAP,[point],0.1,128,0.8553,0.9365,0.8,12.8,5,3.0,
D-4,SMAP,[point],0.1,256,0.9483,0.9739,0.9333,53.73,5,3.0,
D-4,SMAP,[point],0.25,16,0.7402,0.6522,0.8667,0.87,5,3.0,
D-4,SMAP,[point],0.25,32,0.8139,0.7762,0.8667,2.8,5,3.0,
D-4,SMAP,[point],0.25,64,0.9458,0.8973,1.0,5.4,5,3.0,
D-4,SMAP,[point],0.25,128,0.9741,0.9496,1.0,10.67,5,3.0,
D-4,SMAP,[point],0.25,256,0.9869,0.9741,1.0,15.4,5,3.0,
D-4,SMAP,[point],0.5,16,0.7251,0.6268,0.8667,0.4,5,3.0,
D-4,SMAP,[point],0.5,32,0.843,0.7734,0.9333,0.07,5,3.0,
D-4,SMAP,[point],0.5,64,0.9426,0.8914,1.0,0.67,5,3.0,
D-4,SMAP,[point],0.5,128,0.9717,0.9449,1.0,2.07,5,3.0,
D-4,SMAP,[point],0.5,256,0.9846,0.9697,1.0,0.13,5,3.0,
D-4,SMAP,[point],0.75,16,0.7794,0.6386,1.0,0.0,5,3.0,
D-4,SMAP,[point],0.75,32,0.8735,0.7755,1.0,0.0,5,3.0,
D-4,SMAP,[point],0.75,64,0.9366,0.8808,1.0,0.33,5,3.0,
D-4,SMAP,[point],0.75,128,0.969,0.9398,1.0,1.13,5,3.0,
D-4,SMAP,[point],0.75,256,0.9849,0.9702,1.0,1.2,5,3.0,
D-4,SMAP,[point],1.0,16,0.7886,0.6513,1.0,0.13,5,3.0,
D-4,SMAP,[point],1.0,32,0.8735,0.7755,1.0,0.67,5,3.0,
D-4,SMAP,[point],1.0,64,0.9316,0.872,1.0,0.67,5,3.0,
D-4,SMAP,[point],1.0,128,0.9663,0.9348,1.0,0.0,5,3.0,
D-4,SMAP,[point],1.0,256,0.9846,0.9697,1.0,0.0,5,3.0,
D-4,SMAP,[point],1.5,16,0.7578,0.6107,1.0,0.0,5,3.0,
D-4,SMAP,[point],1.5,32,0.8704,0.7706,1.0,0.0,5,3.0,
D-4,SMAP,[point],1.5,64,0.9294,0.8681,1.0,0.0,5,3.0,
D-4,SMAP,[point],1.5,128,0.9634,0.9294,1.0,0.13,5,3.0,
D-4,SMAP,[point],1.5,256,0.9822,0.9651,1.0,0.07,5,3.0,
G-1,SMAP,[contextual],0.0,0,0.0,0.0,0.0,,1,0.0,0.0
G-1,SMAP,[contextual],0.1,16,0.0,0.0,0.0,,5,3.0,
G-1,SMAP,[contextual],0.1,32,0.0,0.0,0.0,,5,3.0,
G-1,SMAP,[contextual],0.1,64,0.0,0.0,0.0,,5,3.0,
G-1,SMAP,[contextual],0.1,128,0.0,0.0,0.0,,5,3.0,
G-1,SMAP,[contextual],0.1,256,0.0,0.0,0.0,,5,3.0,
